,Name,redshift,radius,inc,logM,logM_var,logSFR,logSFR_var,logZ0,dlogZ,logZ0_var,dlogZ_var,logZ0_dlogZ_var,grad_type,js_dist
0,b'HDFS_0003',0.563749,0.6635183613275506,16.0,9.747,0.018906250000000048,1.386482980778561,0.07124856897732292,0.21221974745043645,-0.13591559007348925,0.0002792214816629247,8.623839252347813e-05,-5.243176461574732e-05,b'negative',0.00989380965840139
1,b'HDFS_0006',0.422325,0.46589974965312136,29.0,9.397,0.021025000000000134,-0.0172290220404894,0.08685446441386774,-0.204760536574588,0.004002045816008631,0.018403086718100304,0.00024903605658883497,-0.0005519266164490606,b'flat',0.009227986379477634
2,b'HDFS_0007',0.463676,0.44320383057541035,41.0,9.492,0.05175625000000002,0.19296298814349278,0.11177065353436838,0.6788655591822887,-0.3443896370815623,0.00025151616976871706,0.0003424317139968507,-0.00017043701693802575,b'negative',0.012672369759004614
3,b'HDFS_0008',0.577241,0.1835068733832162,61.0,9.997,0.017292249999999988,1.1221308340382496,0.07813911695624823,0.3663006458145923,-0.07006899905564579,0.0013528541084656823,0.0002878739610645107,-0.0004971601862026554,b'negative',0.021918145788674317
4,b'HDFS_0009',0.563846,0.24717309499887952,61.0,9.487,0.030624999999999937,0.9584512528357841,0.08269110698386588,0.4507708618235799,-0.19919341942246616,0.000545547086527499,0.00023121584060348024,-0.00023489005728499386,b'negative',0.013440131016708897
5,b'HDFS_0011',0.577854,0.10185389956902687,62.0,9.312,0.02030625000000002,0.5232789203587933,0.08878990412790146,0.3631700052514579,-0.16713378848125884,0.008441403720221837,0.0008494120987892207,-0.0017286812363341642,b'negative',0.6224859351830251
6,b'HDFS_0012',0.670109,0.041589722448745266,37.0,9.107,0.038025000000000114,0.5267050023019927,0.1284489834152624,-0.23364414830261354,-0.0057520818700434444,0.019567388342922563,0.0015411668613172515,-0.0050250365861117165,b'flat',0.14689017718843125
7,b'HDFS_0016',0.464655,0.401080325684938,20.0,8.837,0.030624999999999937,0.28982744652452297,0.07241972362611404,-0.3804667939762764,0.28271555085206546,0.002100841299686725,0.0005003843402997775,-0.0009459279503940861,b'positive',0.021606368360838117
8,b'HDFS_0023',0.564107,0.5136557422437955,24.0,8.752,0.049506250000000064,-0.18159219144007768,0.2384819199609501,-0.11381319744888793,-0.10177431942726184,0.05890194906916981,0.03182408928415878,-0.03386544269784251,b'flat',0.03128433937102906
9,b'HDFS_0026',0.224882,0.41709607150160993,70.0,7.312,0.0,-2.0362871130912543,0.0007303670984556344,0.027733131787237124,-0.05971624050876704,0.014492220555492463,0.003355798298521113,-0.004205294192869983,b'flat',0.05464250261889343
